metodo,sample_idx,pointing_game,sparseness,pg@3
Gradiente,6065,1,0.597631793531848,1
Gradiente,5820,1,0.6566002088358018,1
Gradiente,3432,1,0.6988744503437907,1
Gradiente,4374,0,0.6380455864661849,1
Gradiente,1169,1,0.6736088755559673,1
Gradiente,9980,1,0.5915623492828153,1
Gradiente,2803,1,0.7367730329457862,1
Gradiente,8751,1,0.6870740363098549,1
Gradiente,4010,1,0.7800195556044311,1
Gradiente,2677,1,0.6877327293287232,1
Gradiente,7573,1,0.6972277347805846,1
Gradiente,6216,1,0.6468854090896303,1
Gradiente,4422,1,0.711543931649149,1
Gradiente,9125,1,0.602879966421179,1
Gradiente,3598,1,0.7087366615045039,1
Gradiente,5313,1,0.6705218691268289,1
Gradiente,916,1,0.6596906177763207,1
Gradiente,3752,1,0.6384229494674938,1
Gradiente,525,1,0.652732177617831,1
Gradiente,5168,1,0.6405232120949662,1
Gradiente,6572,1,0.7828593617178479,1
Gradiente,4386,1,0.7530911905216304,1
Gradiente,1084,1,0.6528963688679696,1
Gradiente,3456,0,0.6105230478511914,1
Gradiente,9292,1,0.6930432599198049,1
Gradiente,5155,1,0.690975785386529,1
Gradiente,3483,1,0.6424424060904173,1
Gradiente,8179,1,0.654625672630434,1
Gradiente,6482,1,0.7263905980781911,1
Gradiente,7517,1,0.7261639717909174,1
Gradiente,2340,1,0.6539649782940733,1
Gradiente,4339,1,0.6975100178638574,1
Gradiente,2287,1,0.7466041564714203,1
Gradiente,4040,1,0.6768400017575062,1
Gradiente,9197,1,0.6742675336305513,1
Gradiente,8830,1,0.6196219354672463,1
Gradiente,4304,1,0.7920307212295365,1
Gradiente,9577,1,0.6212542472355671,1
Gradiente,7019,1,0.7520718963311583,1
Gradiente,9560,1,0.683915578569819,1
Gradiente,6543,1,0.63442648387415,1
Gradiente,5930,1,0.6504975728897215,1
Gradiente,3593,1,0.7405011750329964,1
Gradiente,2266,1,0.6824521243104014,1
Gradiente,8348,1,0.6678365409669516,1
Gradiente,8085,1,0.6491629170846498,1
Gradiente,1489,1,0.6254644124531417,1
Gradiente,771,1,0.6625095110952228,1
Gradiente,1796,1,0.6685220778785281,1
Gradiente,2504,1,0.7602932433476479,1
Gradiente,2621,1,0.6201399234418035,1
Gradiente,6916,1,0.6888633577567462,1
Gradiente,9771,1,0.6743953571276544,1
Gradiente,1040,1,0.7666087897067229,1
Gradiente,6304,1,0.6837032412650239,1
Gradiente,6252,1,0.6978152778569577,1
Gradiente,9763,1,0.6704036817121695,1
Gradiente,7668,1,0.6565090190588034,1
Gradiente,8669,1,0.6684113250737298,1
Gradiente,4119,1,0.6690500501663241,1
Gradiente,9064,1,0.6211667637520661,1
Gradiente,188,1,0.663573378599096,1
Gradiente,1876,1,0.7866741415815548,1
Gradiente,8797,1,0.6736717524445719,1
Gradiente,4371,1,0.6980448925723133,1
Gradiente,5573,0,0.6385339682079099,1
Gradiente,1827,1,0.6572198070185871,1
Gradiente,4808,1,0.6350060427772433,1
Gradiente,7123,1,0.7292361404317835,1
Gradiente,2591,1,0.7025542651615391,1
Gradiente,7433,1,0.6761302353802869,1
Gradiente,53,1,0.6490548101661093,1
Gradiente,4315,0,0.6486685385350526,0
Gradiente,8201,0,0.6307001512214916,1
Gradiente,2927,1,0.6236777882640097,1
Gradiente,8317,1,0.6621429081271655,1
Gradiente,1743,1,0.68414842059715,1
Gradiente,4889,1,0.6449600026162061,1
Gradiente,9977,1,0.6708643204139348,1
Gradiente,3258,1,0.6573318125831245,1
Gradiente,6126,1,0.6682806582267022,1
Gradiente,2646,1,0.7068512969950647,1
Gradiente,8837,1,0.6950150616054682,1
Gradiente,8689,1,0.6862893994187553,1
Gradiente,9,1,0.6679202389627383,1
Gradiente,9813,0,0.6681846517899686,1
Gradiente,5310,1,0.6590444864088485,1
Gradiente,8005,1,0.749728963917693,1
Gradiente,319,1,0.5904340797476508,1
Gradiente,1832,0,0.6344529628761406,1
Gradiente,5947,0,0.6629211435824727,1
Gradiente,5038,1,0.6481746060105471,1
Gradiente,3923,1,0.6736776834328635,1
Gradiente,949,1,0.7350279875712924,1
Gradiente,3946,1,0.6700678706862331,1
Gradiente,9295,1,0.7646047034052044,1
Gradiente,1290,0,0.7006915720212172,1
Gradiente,1403,1,0.7148268915358995,1
Gradiente,7962,1,0.6850228478513378,1
Gradiente,1133,0,0.7098914214077268,1
Gradiente,8727,1,0.6770930421421779,1
Gradiente,2060,1,0.6211028511410148,1
Gradiente,2103,1,0.6666498978004796,1
Gradiente,7787,1,0.6314396130400368,1
Gradiente,9007,1,0.6009517579126038,1
Gradiente,2705,1,0.6986970836796218,1
Gradiente,4342,1,0.6647443366792583,1
Gradiente,8645,1,0.6705135740988004,1
Gradiente,9938,1,0.6738134960602866,1
Gradiente,6932,0,0.6637133961709547,1
Gradiente,3470,0,0.6540878247863862,1
Gradiente,8835,1,0.6540931439024109,1
Gradiente,3295,1,0.61229223920783,1
Gradiente,5107,1,0.6966882948167188,1
Gradiente,6537,0,0.6727727868362057,0
Gradiente,6118,1,0.6193356633041414,1
Gradiente,7177,1,0.7082762775038756,1
Gradiente,8479,1,0.676237397438683,1
Gradiente,7397,0,0.6426178429029885,1
Gradiente,1982,1,0.6797524453855042,1
Gradiente,4061,1,0.700745076519159,1
Gradiente,3681,1,0.6401366648786753,1
Gradiente,1049,1,0.642649540971356,1
Gradiente,5539,1,0.6344756680155936,1
Gradiente,344,1,0.6877798111883,1
Gradiente,9638,1,0.6816910983710287,1
Gradiente,9075,0,0.623434576602627,1
Gradiente,3770,1,0.6357193139675379,1
Gradiente,9641,1,0.7476061677646708,1
Gradiente,3608,1,0.6275669386110612,1
Gradiente,117,1,0.6507005583551846,1
Gradiente,1163,1,0.6779627274312743,1
Gradiente,964,1,0.7611720802577537,1
Gradiente,3750,1,0.6354757236752027,1
Integrated Gradients,1824,1,0.9130983865977083,1
Integrated Gradients,409,1,0.9508312201971991,1
Integrated Gradients,4506,1,0.9039465614015691,1
Integrated Gradients,4012,1,0.9199738604883008,1
Integrated Gradients,3657,1,0.8774988208402041,1
Integrated Gradients,2286,1,0.9151773635083993,1
Integrated Gradients,1679,1,0.8993234751408361,1
Integrated Gradients,8935,1,0.9115830462727132,1
Integrated Gradients,1424,1,0.9475195845405135,1
Integrated Gradients,9674,1,0.946642291653307,1
Integrated Gradients,6912,1,0.947914087343849,1
Integrated Gradients,520,1,0.9287811610434846,1
Integrated Gradients,488,1,0.943060963211326,1
Integrated Gradients,1535,1,0.9143335287689491,1
Integrated Gradients,3582,1,0.9659435367974882,1
Integrated Gradients,3811,1,0.9228295209926547,1
Integrated Gradients,8279,1,0.9327523106985625,1
Integrated Gradients,9863,1,0.9323146220037446,1
Integrated Gradients,434,1,0.9402244354987763,1
Integrated Gradients,9195,1,0.8941037178330686,1
Integrated Gradients,3257,1,0.9135740974542332,1
Integrated Gradients,8928,1,0.9173955786405408,1
Integrated Gradients,6873,1,0.9252881888195061,1
Integrated Gradients,3611,1,0.849417389816234,1
Integrated Gradients,7359,1,0.9079427978457011,1
Integrated Gradients,9654,1,0.930145686669648,1
Integrated Gradients,4557,1,0.9144064643154484,1
Integrated Gradients,106,1,0.8986725663882189,1
Integrated Gradients,2615,1,0.9290585867406675,1
Integrated Gradients,6924,1,0.9454730928013333,1
Integrated Gradients,5574,1,0.8795784213428581,1
Integrated Gradients,4552,1,0.8641798416430921,1
Integrated Gradients,2547,1,0.9188214245344599,1
Integrated Gradients,3527,1,0.9110854205051808,1
Integrated Gradients,5514,1,0.9532956682564782,1
Integrated Gradients,1674,1,0.9539955281485262,1
Integrated Gradients,1519,1,0.9220235644665311,1
